time,gFx,gFy,gFz,TgF
120.142906725,-0.0205,0.0933,-0.9239,0.929
121.14339261,0.4539,-0.8313,-0.8558,1.277
122.14369136,0.4759,-0.6710,-0.9379,1.248
123.144113078,-0.1346,0.5257,-0.7598,0.934
124.144528442,0.1538,0.5377,-0.6915,0.889
125.144644848,0.2078,0.6197,-0.6635,0.931
126.146835785,-0.0905,0.6598,-0.5094,0.838
127.149461306,-0.0945,0.6037,-0.7778,0.989
128.149645576,0.4399,-0.7513,-0.9078,1.258
129.150054899,0.4539,-0.6330,-0.9279,1.211
130.158970367,0.0315,0.4157,-0.8598,0.956
131.164482346,0.1438,0.6417,-0.6555,0.929
132.166819377,0.1758,0.6918,-0.6355,0.956
133.170100887,-0.0745,0.6297,-0.6635,0.918
134.151348022,0.1398,0.6117,-0.5415,0.829
135.151731094,0.2058,0.2636,-0.8618,0.924
136.151755729,0.6600,-0.9634,-0.8178,1.426
137.152262708,0.4179,-0.1848,-0.9579,1.061
138.152551874,-0.0125,0.6578,-0.6475,0.923
139.152703697,-0.0705,0.7198,-0.6555,0.976
140.15299854,0.3059,0.5937,-0.5194,0.846
141.153112863,0.2218,0.6177,-0.5795,0.876
142.153325779,-0.0045,0.6337,-0.5074,0.812
143.153988643,0.0955,0.8058,-0.6695,1.052
144.154514112,0.1318,-0.2949,-0.9499,1.003
145.15435859,0.4679,-0.9114,-0.8238,1.315
146.154901038,0.1298,-0.1728,-1.0239,1.046
147.155345517,-0.1686,0.4977,-0.8138,0.969
148.155520829,-0.4727,0.1916,-0.5355,0.739
149.155984995,-0.5427,-0.8813,0.2271,1.060
150.156395255,-0.0345,0.2836,0.9033,0.947
