time,gFx,gFy,gFz,TgF
0.690852187,0.4079,0.2696,0.4952,0.696
1.691398124,0.0255,0.5817,0.8313,1.015
2.691626197,-0.5467,0.7438,0.3651,0.993
3.69191479,-0.6508,0.1356,0.0988,0.672
4.694105883,-1.8137,-0.0828,0.9033,2.028
5.694512498,-0.2966,0.6658,-0.2794,0.781
6.707179528,0.3139,0.2356,0.8233,0.912
7.709823955,0.1338,0.6397,-0.0953,0.660
8.712658538,0.2418,0.7358,-0.0333,0.775
9.696241506,0.0215,0.9921,-0.2493,1.023
10.69640036,0.1898,0.8198,-0.0253,0.842
11.696888276,0.0915,0.7058,-0.1073,0.720
12.697175255,0.0495,0.7818,-0.1773,0.803
13.697421609,0.0415,0.3997,-0.2173,0.457
14.69791713,0.1178,0.7218,-0.1013,0.738
15.698238587,0.1258,0.6758,-0.0053,0.687
16.698481556,0.0495,0.7878,0.0188,0.790
17.698936139,0.2118,0.7198,-0.0833,0.755
18.699294472,0.0195,0.6758,-0.0553,0.678
19.699683273,0.0715,0.7398,-0.1693,0.762
20.70095619,0.2819,0.4637,-0.4374,0.697
21.701048846,0.4199,-0.9654,-1.0279,1.471
22.701573637,0.1015,0.2256,-0.8238,0.860
23.702427595,0.2018,0.6578,-0.5715,0.894
24.703548376,0.1035,0.9018,-0.5415,1.057
25.705059677,0.0055,-0.0568,-0.9299,0.932
26.707834,0.3619,-0.9013,-1.0379,1.421
27.710603114,-0.0265,0.6317,-0.6315,0.894
28.713948999,0.2659,0.6297,-0.5154,0.856
29.716571447,0.2879,0.5997,-0.5695,0.876
30.718052748,0.2679,-0.2689,-0.9379,1.012
31.72060504,0.1778,-0.8593,-1.0059,1.335
32.705817435,0.0215,0.6077,-0.6355,0.880
33.706387591,0.2939,0.6037,-0.5275,0.854
34.707533372,0.2619,-0.1788,-0.9179,0.971
35.707788371,0.2799,-0.7813,-1.0319,1.324
36.707912954,0.2779,0.5997,-0.6515,0.928
37.708380819,0.0635,0.6618,-0.4954,0.829
38.708723839,0.1718,-0.5009,-0.9459,1.084
39.709092901,0.1978,-0.3989,-1.0299,1.122
40.709435713,0.0015,0.6417,-0.6835,0.938
41.709731703,0.1678,0.8598,-0.6035,1.064
42.709983265,0.2538,-0.8933,-1.0879,1.430
43.710615035,0.1558,-0.2949,-1.0579,1.109
44.710870764,-0.0125,0.6878,-0.4854,0.842
45.711190503,0.1358,0.9199,-0.4494,1.033
46.711451336,0.1218,-0.9674,-0.9999,1.397
47.711701857,0.2498,-0.2428,-1.0239,1.082
48.712398471,-0.0405,0.7418,-0.6755,1.004
49.714991752,0.2839,0.5717,-0.5615,0.850
50.718467845,0.0315,0.0113,-0.5915,0.592
51.738279615,-0.2546,0.2916,-1.1239,1.189
52.713598573,0.1598,0.2936,-1.3280,1.369
53.714009198,-0.4687,-0.4989,-0.9939,1.207
54.714258208,0.0895,0.8698,-0.8618,1.228
55.715243989,0.2859,0.5597,-0.6535,0.907
56.715572582,-0.0585,-0.9454,-0.2734,0.986
57.71600904,-0.0005,-1.0794,-0.1253,1.087
58.716056592,0.1738,-0.4189,-0.9319,1.036
59.71657805,0.0955,0.6518,-0.6875,0.952
60.71681232,0.4179,0.5017,-0.6795,0.942
61.717116122,0.3759,0.2836,-0.7558,0.890
62.717352684,-0.0145,-0.7933,-0.6675,1.037
63.717486017,0.2839,-0.6450,-0.7335,1.017
64.717995913,-0.0605,-0.1168,-0.8878,0.898
65.718157579,0.2338,0.5057,-0.6615,0.865
66.718627787,0.2759,0.5677,-0.6775,0.926
67.71867987,-0.1145,-0.9114,-1.6904,1.924
68.718934557,-0.4027,-0.3769,-1.2760,1.390
69.719506119,0.1938,-0.3709,-1.1679,1.241
70.720197837,0.1098,0.6057,-0.7235,0.950
71.721121535,0.0415,0.6738,-0.7255,0.991
72.724197264,0.3159,0.0253,-0.7135,0.781
73.727139972,0.2979,-0.6830,-1.0999,1.329
74.730226221,0.3799,-0.8533,-1.0039,1.371
75.732217783,-0.0345,0.0813,-0.9179,0.922
76.73407747,0.1818,0.6237,-0.7878,1.021
77.723532939,-0.0985,0.6598,-0.7055,0.971
78.72379997,0.1858,0.6437,-0.5875,0.891
79.724838407,0.1958,0.6818,-0.5975,0.927
80.725141688,0.0875,0.6758,-0.6295,0.928
81.725394083,-0.0625,0.7218,-0.5975,0.939
82.725833093,0.1758,0.5877,-0.6095,0.865
83.726130384,0.1858,0.6798,-0.6615,0.967
84.726624863,0.0135,0.6497,-0.6835,0.943
85.727214082,0.0315,0.6978,-0.7538,1.028
86.727466842,0.3319,0.5717,-0.7375,0.990
87.727777883,0.1138,0.8698,-0.7538,1.157
