time,gFx,gFy,gFz,TgF
06:33:32:8,-0.1606,0.4197,0.4392,0.63
06:33:32:9,-0.1566,0.4297,0.4652,0.65
06:33:32:9,-0.1486,0.4417,0.4892,0.68
06:33:32:9,-0.1386,0.4497,0.6052,0.77
06:33:32:9,-0.1245,0.4577,0.6152,0.78
06:33:32:9,-0.1085,0.4637,0.6272,0.79
06:33:32:9,-0.0905,0.4697,0.6412,0.80
06:33:32:9,-0.0745,0.4737,0.6553,0.81
06:33:32:9,-0.0585,0.4777,0.6673,0.82
06:33:32:9,-0.0445,0.4817,0.6773,0.83
06:33:32:9,-0.0325,0.4837,0.6853,0.84
06:33:32:9,-0.0245,0.4877,0.6893,0.84
06:33:32:9,-0.0205,0.4917,0.6893,0.85
06:33:32:9,-0.0185,0.4917,0.6813,0.84
06:33:32:9,-0.0185,0.4937,0.6713,0.83
06:33:32:9,-0.0225,0.4937,0.6553,0.82
06:33:32:9,-0.0285,0.4957,0.6392,0.81
06:33:32:9,-0.0365,0.4977,0.6212,0.80
06:33:32:9,-0.0465,0.4997,0.6032,0.78
06:33:32:9,-0.0585,0.4997,0.5872,0.77
06:33:32:9,-0.0725,0.4997,0.5732,0.76
06:33:32:9,-0.0845,0.4997,0.5612,0.76
06:33:32:9,-0.0905,0.5017,0.5512,0.75
06:33:33:0,-0.1025,0.5057,0.5452,0.75
06:33:33:0,-0.1065,0.5077,0.5412,0.75
06:33:33:0,-0.1045,0.5097,0.5392,0.75
06:33:33:0,-0.1025,0.5117,0.5392,0.75
06:33:33:0,-0.0925,0.5137,0.5392,0.75
06:33:33:0,-0.0765,0.5157,0.5432,0.75
06:33:33:0,-0.0605,0.5177,0.5452,0.75
06:33:33:0,-0.0445,0.5197,0.5472,0.76
06:33:33:0,-0.0265,0.5217,0.5472,0.76
06:33:33:0,-0.0085,0.5237,0.5472,0.76
06:33:33:0,0.0035,0.5257,0.5452,0.76
06:33:33:0,0.0155,0.5277,0.5452,0.76
06:33:33:0,0.0275,0.5257,0.5392,0.75
06:33:33:0,0.0315,0.5257,0.5312,0.75
06:33:33:0,0.0355,0.5257,0.5212,0.74
06:33:33:0,0.0355,0.5257,0.5092,0.73
06:33:33:0,0.0315,0.5217,0.4992,0.72
06:33:33:0,0.0295,0.5197,0.4932,0.72
06:33:33:0,0.0275,0.5177,0.4872,0.71
06:33:33:0,0.0215,0.5097,0.4792,0.70
06:33:33:0,0.0175,0.5037,0.4772,0.69
06:33:33:1,0.0135,0.4997,0.4752,0.69
06:33:33:1,0.0095,0.4917,0.4772,0.69
06:33:33:1,0.0035,0.4837,0.4812,0.68
06:33:33:1,-0.0005,0.4757,0.4832,0.68
06:33:33:1,-0.0065,0.4657,0.4832,0.67
06:33:33:1,-0.0145,0.4577,0.4832,0.67
06:33:33:1,-0.0245,0.4537,0.4832,0.66
06:33:33:1,-0.0345,0.4437,0.4852,0.66
06:33:33:1,-0.0425,0.4397,0.4852,0.66
06:33:33:1,-0.0505,0.4297,0.4872,0.65
06:33:33:1,-0.0585,0.4277,0.4912,0.65
06:33:33:1,-0.0625,0.4197,0.4972,0.65
06:33:33:1,-0.0645,0.4137,0.5012,0.65
06:33:33:1,-0.0665,0.4077,0.5052,0.65
06:33:33:1,-0.0665,0.4037,0.5132,0.66
06:33:33:1,-0.0665,0.4017,0.5212,0.66
06:33:33:1,-0.0665,0.4017,0.5312,0.67
06:33:33:1,-0.0645,0.4057,0.5352,0.67
06:33:33:1,-0.0605,0.4097,0.5412,0.68
06:33:33:1,-0.0565,0.4177,0.5452,0.69
06:33:33:2,-0.0545,0.4277,0.5492,0.70
06:33:33:2,-0.0505,0.4397,0.5512,0.71
06:33:33:2,-0.0445,0.4477,0.5532,0.71
06:33:33:2,-0.0365,0.4577,0.5532,0.72
06:33:33:2,-0.0245,0.4657,0.5512,0.72
06:33:33:2,-0.0165,0.4737,0.5492,0.73
06:33:33:2,-0.0085,0.4757,0.5472,0.73
06:33:33:2,-0.0005,0.4797,0.5452,0.73
06:33:33:2,0.0055,0.4817,0.5412,0.72
06:33:33:2,0.0155,0.4837,0.5372,0.72
06:33:33:2,0.0275,0.4837,0.5352,0.72
06:33:33:2,0.0435,0.4837,0.5332,0.72
06:33:33:2,0.0575,0.4837,0.5292,0.72
06:33:33:2,0.0735,0.4837,0.5272,0.72
06:33:33:2,0.0915,0.4837,0.5212,0.72
06:33:33:2,0.1138,0.4837,0.5192,0.72
06:33:33:2,0.1338,0.4857,0.5172,0.72
06:33:33:2,0.1518,0.4857,0.5172,0.73
06:33:33:2,0.1698,0.4857,0.5132,0.73
06:33:33:2,0.1858,0.4877,0.5092,0.73
06:33:33:3,0.1998,0.4877,0.5032,0.73
06:33:33:3,0.2118,0.4897,0.4972,0.73
06:33:33:3,0.2178,0.4897,0.4952,0.73
06:33:33:3,0.2238,0.4897,0.4912,0.73
06:33:33:3,0.2278,0.4917,0.4872,0.73
06:33:33:3,0.2278,0.4977,0.4792,0.73
06:33:33:3,0.2258,0.5037,0.4712,0.73
06:33:33:3,0.2218,0.5097,0.4652,0.72
06:33:33:3,0.2178,0.5157,0.4552,0.72
06:33:33:3,0.2138,0.5177,0.4512,0.72
06:33:33:3,0.1918,0.5177,0.4712,0.73
06:33:33:3,0.1658,0.5197,0.4732,0.72
06:33:33:3,0.1478,0.5137,0.4812,0.72
06:33:33:3,0.1358,0.5057,0.4952,0.72
06:33:33:3,0.1318,0.4977,0.5112,0.73
06:33:33:3,0.1298,0.4897,0.5252,0.73
06:33:33:3,0.1318,0.4777,0.5432,0.74
06:33:33:3,0.1378,0.4637,0.5532,0.73
06:33:33:3,0.1658,0.4477,0.5332,0.72
06:33:33:3,0.2038,0.4177,0.5312,0.71
06:33:33:4,0.2418,0.3957,0.5272,0.70
06:33:33:4,0.3819,0.2816,0.5232,0.71
06:33:33:4,0.3959,0.2776,0.5192,0.71
06:33:33:4,0.4059,0.2736,0.5172,0.71
06:33:33:4,0.4179,0.2676,0.5172,0.72
06:33:33:4,0.4359,0.2596,0.5272,0.73
06:33:33:4,0.4619,0.2536,0.5412,0.76
06:33:33:4,0.4859,0.2536,0.5592,0.78
06:33:33:4,0.5099,0.2496,0.5792,0.81
06:33:33:4,0.6380,0.2436,0.5912,0.90
06:33:33:4,0.6520,0.2296,0.5992,0.91
06:33:33:4,0.6700,0.2116,0.6072,0.93
06:33:33:4,0.6800,0.1936,0.6072,0.93
06:33:33:4,0.6700,0.1816,0.5932,0.91
06:33:33:4,0.6380,0.1776,0.5772,0.88
06:33:33:4,0.5880,0.1736,0.5492,0.82
06:33:33:4,0.4079,0.1736,0.5152,0.68
06:33:33:4,0.3579,0.1716,0.3711,0.54
06:33:33:4,0.1598,0.1656,0.3451,0.41
06:33:33:4,0.1075,0.1596,0.3191,0.37
06:33:33:5,-0.0485,0.1516,0.3031,0.34
06:33:33:5,-0.0865,0.1536,0.2931,0.34
06:33:33:5,-0.2166,0.1516,0.2871,0.39
06:33:33:5,-0.2306,0.1516,0.2911,0.40
06:33:33:5,-0.2366,0.1476,0.3091,0.42
06:33:33:5,-0.2446,0.1496,0.3411,0.45
06:33:33:5,-0.2406,0.1476,0.3711,0.47
06:33:33:5,-0.2306,0.1476,0.3992,0.48
06:33:33:5,-0.2126,0.1516,0.4152,0.49
06:33:33:5,-0.1946,0.1516,0.5232,0.58
06:33:33:5,-0.1786,0.1616,0.5312,0.58
06:33:33:5,-0.1646,0.1716,0.5292,0.58
06:33:33:5,-0.1606,0.1836,0.5292,0.58
06:33:33:5,-0.1646,0.2016,0.5292,0.59
06:33:33:5,-0.1666,0.2256,0.5312,0.60
06:33:33:5,-0.1606,0.2536,0.5332,0.61
06:33:33:5,-0.1486,0.2656,0.5392,0.62
06:33:33:5,-0.1326,0.2856,0.5512,0.63
06:33:33:5,-0.1245,0.3997,0.5472,0.69
06:33:33:5,-0.1065,0.4117,0.5572,0.70
06:33:33:6,-0.0825,0.4297,0.5752,0.72
06:33:33:6,-0.0465,0.4477,0.5812,0.74
06:33:33:6,0.1015,0.4617,0.5812,0.75
06:33:33:6,0.1238,0.4737,0.5812,0.76
06:33:33:6,0.1398,0.4877,0.5872,0.78
06:33:33:6,0.1538,0.5057,0.6012,0.80
06:33:33:6,0.1698,0.5237,0.6172,0.83
06:33:33:6,0.1818,0.5397,0.6292,0.85
06:33:33:6,0.1898,0.5577,0.6372,0.87
06:33:33:6,0.1858,0.5737,0.6432,0.88
06:33:33:6,0.1718,0.5937,0.6492,0.90
06:33:33:6,0.1338,0.6117,0.6533,0.90
06:33:33:6,0.0835,0.6257,0.6533,0.91
06:33:33:6,-0.1065,0.6417,0.6533,0.92
06:33:33:6,-0.1666,0.6558,0.6492,0.94
06:33:33:6,-0.3566,0.6718,0.6472,1.00
06:33:33:6,-0.3886,0.6838,0.6452,1.02
06:33:33:6,-0.4047,0.6898,0.6452,1.03
06:33:33:6,-0.4027,0.6898,0.6472,1.03
06:33:33:7,-0.3766,0.6818,0.6553,1.02
06:33:33:7,-0.3366,0.6638,0.6813,1.01
06:33:33:7,-0.2806,0.6337,0.7213,1.00
06:33:33:7,-0.0525,0.5957,0.8713,1.06
06:33:33:7,0.1158,0.4477,0.9013,1.01
06:33:33:7,0.2899,0.4117,0.9334,1.06
06:33:33:7,0.4539,0.3736,1.0677,1.22
06:33:33:7,0.5119,0.2276,1.0837,1.22
06:33:33:7,0.7180,0.2096,1.1017,1.33
06:33:33:7,0.7740,0.1916,1.1017,1.36
06:33:33:7,0.9461,0.1796,1.0917,1.46
06:33:33:7,0.9541,0.1736,1.0797,1.45
06:33:33:7,0.9361,0.1756,1.0637,1.43
06:33:33:7,0.8761,0.1876,1.0396,1.37
06:33:33:7,0.6580,0.2056,1.0136,1.23
06:33:33:7,0.4379,0.2296,0.9856,1.10
06:33:33:7,0.1918,0.2536,0.8453,0.90
06:33:33:7,-0.0805,0.2816,0.8173,0.87
06:33:33:7,-0.3666,0.3957,0.7793,0.95
06:33:33:7,-0.6467,0.4037,0.6533,1.00
06:33:33:7,-0.8671,0.3997,0.6452,1.15
06:33:33:8,-0.9031,0.3876,0.6412,1.17
06:33:33:8,-0.9971,0.3736,0.6452,1.25
06:33:33:8,-0.9551,0.3576,0.6633,1.22
06:33:33:8,-0.8911,0.3416,0.6953,1.18
06:33:33:8,-0.6387,0.3296,0.7413,1.03
06:33:33:8,-0.4507,0.3236,0.9033,1.06
06:33:33:8,-0.2386,0.3156,0.9314,1.01
06:33:33:8,-0.0545,0.3096,0.9556,1.01
06:33:33:8,-0.0105,0.3136,0.9716,1.02
06:33:33:8,0.1138,0.3176,0.9816,1.04
06:33:33:8,0.0995,0.3236,0.9756,1.03
06:33:33:8,0.0735,0.3276,0.9576,1.01
06:33:33:8,0.0415,0.3296,0.9334,0.99
06:33:33:8,0.0115,0.3276,0.9073,0.96
06:33:33:8,-0.0105,0.3296,0.8813,0.94
06:33:33:8,-0.1205,0.3336,0.8553,0.93
06:33:33:8,-0.1225,0.3356,0.8373,0.91
06:33:33:8,-0.1225,0.3376,0.8253,0.90
06:33:33:8,-0.1145,0.3376,0.8153,0.89
06:33:33:9,-0.0985,0.3356,0.8133,0.89
06:33:33:9,-0.0725,0.3356,0.8173,0.89
06:33:33:9,-0.0445,0.3336,0.8193,0.89
06:33:33:9,-0.0165,0.3316,0.8233,0.89
06:33:33:9,0.1075,0.3276,0.8273,0.90
06:33:33:9,0.1218,0.3256,0.8313,0.90
06:33:33:9,0.1338,0.3236,0.8313,0.90
06:33:33:9,0.1438,0.3216,0.8313,0.90
06:33:33:9,0.1498,0.3196,0.8233,0.90
06:33:33:9,0.1478,0.3176,0.8053,0.88
06:33:33:9,0.1398,0.3176,0.7813,0.85
06:33:33:9,0.1238,0.3196,0.7453,0.82
06:33:33:9,0.1015,0.3216,0.5832,0.67
06:33:33:9,0.0735,0.3236,0.5332,0.63
06:33:33:9,0.0415,0.3236,0.3671,0.49
06:33:33:9,-0.0905,0.3296,0.3311,0.48
06:33:33:9,-0.1065,0.3376,0.2051,0.41
06:33:33:9,-0.1105,0.3476,0.1871,0.41
06:33:33:9,-0.1065,0.3576,0.1811,0.41
06:33:33:9,-0.0905,0.3696,0.1931,0.43
06:33:34:0,-0.0665,0.3816,0.2251,0.45
06:33:34:0,-0.0305,0.3917,0.2771,0.48
06:33:34:0,0.1075,0.3997,0.4672,0.62
06:33:34:0,0.1438,0.3997,0.5232,0.67
06:33:34:0,0.1818,0.3957,0.7113,0.83
06:33:34:0,0.3119,0.3876,0.7513,0.90
06:33:34:0,0.3179,0.3756,0.8793,1.01
06:33:34:0,0.3179,0.3576,0.8933,1.01
06:33:34:0,0.3079,0.3396,0.8973,1.01
06:33:34:0,0.2859,0.3216,0.8813,0.98
06:33:34:0,0.2518,0.3056,0.8613,0.95
06:33:34:0,0.2098,0.2936,0.8253,0.90
06:33:34:0,0.0515,0.2836,0.7793,0.83
06:33:34:0,0.0255,0.2816,0.6112,0.67
06:33:34:0,-0.0005,0.2856,0.5812,0.65
06:33:34:0,-0.0205,0.2916,0.5532,0.63
06:33:34:0,-0.0305,0.2956,0.4292,0.52
06:33:34:0,-0.0285,0.3016,0.4212,0.52
06:33:34:0,-0.0065,0.3036,0.4172,0.52
06:33:34:0,0.0195,0.3016,0.4292,0.52
06:33:34:1,0.0495,0.2996,0.4632,0.55
06:33:34:1,0.0915,0.2816,0.5072,0.59
06:33:34:1,0.2338,0.2576,0.6753,0.76
06:33:34:1,0.2198,0.2416,0.7593,0.83
06:33:34:1,0.1938,0.2216,0.9916,1.03
06:33:34:1,0.1638,0.2076,1.0036,1.04
06:33:34:1,0.1238,0.1956,1.0016,1.03
06:33:34:1,-0.0285,0.1836,0.9836,1.00
06:33:34:1,-0.0725,0.1796,0.9536,0.97
06:33:34:1,-0.2446,0.1796,0.9214,0.97
06:33:34:1,-0.2786,0.1816,0.8893,0.95
06:33:34:1,-0.2846,0.1756,0.6793,0.76
06:33:34:1,-0.2846,0.1636,0.6372,0.72
06:33:34:1,-0.2886,0.1516,0.6332,0.71
06:33:34:1,-0.2906,0.1376,0.6513,0.73
06:33:34:1,-0.2806,0.1255,0.6733,0.74
06:33:34:1,-0.2706,0.1175,0.6953,0.76
06:33:34:1,-0.2586,0.1075,0.7013,0.76
06:33:34:1,-0.2566,0.1013,0.7153,0.77
06:33:34:1,-0.2466,0.0993,0.7193,0.77
06:33:34:2,-0.2306,0.0973,0.7213,0.76
06:33:34:2,-0.2146,0.0993,0.7253,0.76
06:33:34:2,-0.2006,0.0993,0.7213,0.76
06:33:34:2,-0.1846,0.1053,0.7133,0.74
06:33:34:2,-0.1706,0.1135,0.7033,0.73
06:33:34:2,-0.1606,0.1215,0.6873,0.72
06:33:34:2,-0.1546,0.1436,0.6653,0.70
06:33:34:2,-0.1506,0.1616,0.6452,0.68
06:33:34:2,-0.1486,0.1816,0.6192,0.66
06:33:34:2,-0.1466,0.2016,0.4992,0.56
06:33:34:2,-0.1446,0.2276,0.4792,0.55
06:33:34:2,-0.1426,0.3496,0.4572,0.59
06:33:34:2,-0.1386,0.3596,0.4352,0.58
06:33:34:2,-0.1306,0.3716,0.4212,0.58
06:33:34:2,-0.1225,0.3816,0.4152,0.58
06:33:34:2,-0.1125,0.3937,0.4112,0.58
06:33:34:2,-0.1025,0.3997,0.4152,0.59
06:33:34:2,-0.0925,0.4077,0.4272,0.60
06:33:34:2,-0.0865,0.4077,0.4492,0.61
06:33:34:2,-0.0845,0.4057,0.4792,0.63
06:33:34:3,-0.0865,0.3977,0.5132,0.65
06:33:34:3,-0.0885,0.3856,0.6492,0.76
06:33:34:3,-0.0865,0.3696,0.6733,0.77
06:33:34:3,-0.0865,0.3516,0.6993,0.79
06:33:34:3,-0.0905,0.3356,0.7193,0.80
06:33:34:3,-0.0905,0.3196,0.7413,0.81
06:33:34:3,-0.0885,0.3076,0.8633,0.92
06:33:34:3,-0.0865,0.2996,0.8773,0.93
06:33:34:3,-0.0825,0.2956,0.8893,0.94
06:33:34:3,-0.0765,0.2896,0.9073,0.96
06:33:34:3,-0.0765,0.2896,0.9033,0.95
06:33:34:3,-0.0805,0.2916,0.8993,0.95
06:33:34:3,-0.0805,0.2936,0.8953,0.95
06:33:34:3,-0.0785,0.2956,0.9194,0.97
06:33:34:3,-0.0685,0.2936,0.9174,0.97
06:33:34:3,-0.0545,0.2896,0.9073,0.95
06:33:34:3,-0.0405,0.2856,0.8813,0.93
06:33:34:3,-0.0345,0.2856,0.8373,0.89
06:33:34:3,-0.0225,0.2816,0.7033,0.76
06:33:34:3,-0.0065,0.2876,0.6733,0.73
06:33:34:4,0.0135,0.2916,0.6412,0.70
06:33:34:4,0.0355,0.2976,0.4332,0.53
06:33:34:4,0.0495,0.3096,0.3912,0.50
06:33:34:4,0.0735,0.3216,0.2531,0.42
06:33:34:4,0.1998,0.3296,0.2351,0.45
06:33:34:4,0.2198,0.3416,0.2271,0.47
06:33:34:4,0.2378,0.3536,0.2231,0.48
06:33:34:4,0.2578,0.3616,0.2231,0.50
06:33:34:4,0.2699,0.3676,0.2351,0.51
06:33:34:4,0.2759,0.3696,0.2571,0.53
06:33:34:4,0.2799,0.3676,0.2891,0.55
06:33:34:4,0.2759,0.3676,0.3311,0.57
06:33:34:4,0.2679,0.3656,0.4992,0.67
06:33:34:4,0.2578,0.3656,0.5392,0.70
06:33:34:4,0.2498,0.3636,0.5792,0.73
06:33:34:4,0.2438,0.3616,0.7293,0.85
06:33:34:4,0.2398,0.3576,0.7453,0.86
06:33:34:4,0.2398,0.3576,0.7513,0.87
06:33:34:5,0.2398,0.3616,0.7493,0.87
06:33:34:5,0.2438,0.3696,0.7373,0.86
06:33:34:5,0.2458,0.3816,0.7113,0.84
06:33:34:5,0.2498,0.3977,0.6773,0.82
06:33:34:5,0.2558,0.4197,0.6392,0.81
06:33:34:5,0.2619,0.4417,0.4832,0.71
06:33:34:5,0.2659,0.4677,0.4492,0.70
06:33:34:5,0.2659,0.4917,0.4152,0.70
06:33:34:5,0.2639,0.6097,0.2771,0.72
06:33:34:5,0.2598,0.6137,0.2531,0.71
06:33:34:5,0.2558,0.6197,0.2311,0.71
06:33:34:5,0.2759,0.6097,0.2071,0.70
06:33:34:5,0.2899,0.6017,0.1891,0.69
06:33:34:5,0.3019,0.5937,0.1771,0.69
06:33:34:5,0.3119,0.5857,0.1691,0.68
06:33:34:5,0.3219,0.5797,0.1691,0.68
06:33:34:5,0.3279,0.5777,0.1791,0.69
06:33:34:5,0.3339,0.5737,0.1931,0.69
06:33:34:5,0.3379,0.5717,0.2131,0.70
06:33:34:5,0.3079,0.5857,0.2451,0.71
06:33:34:5,0.2799,0.5937,0.3912,0.76
06:33:34:5,0.2438,0.6037,0.4492,0.79
06:33:34:6,0.1118,0.6117,0.6573,0.90
06:33:34:6,0.0895,0.6157,0.6993,0.94
06:33:34:6,0.0695,0.6157,0.8093,1.02
06:33:34:6,0.0595,0.6097,0.7993,1.01
06:33:34:6,0.0555,0.6057,0.7813,0.99
06:33:34:6,0.0575,0.5977,0.7573,0.97
06:33:34:6,0.0715,0.5877,0.7193,0.93
06:33:34:6,0.0935,0.5757,0.5692,0.81
06:33:34:6,0.1238,0.5577,0.5392,0.79
06:33:34:6,0.1538,0.5357,0.5272,0.77
06:33:34:6,0.2819,0.5157,0.5432,0.80
06:33:34:6,0.2919,0.4977,0.5792,0.82
06:33:34:6,0.3039,0.4797,0.6172,0.84
06:33:34:6,0.3139,0.4597,0.6533,0.86
06:33:34:6,0.3179,0.4377,0.7953,0.96
06:33:34:6,0.3199,0.4177,0.8073,0.96
06:33:34:6,0.3159,0.4017,0.8093,0.96
06:33:34:6,0.3099,0.3836,0.7993,0.94
06:33:34:6,0.2999,0.3676,0.7833,0.92
06:33:34:6,0.2879,0.3536,0.7653,0.89
06:33:34:7,0.2739,0.3436,0.7493,0.87
06:33:34:7,0.2578,0.3396,0.7333,0.85
06:33:34:7,0.2398,0.3356,0.7093,0.82
06:33:34:7,0.2198,0.3336,0.6793,0.79
06:33:34:7,0.1978,0.3376,0.5472,0.67
06:33:34:7,0.1798,0.3416,0.5212,0.65
06:33:34:7,0.1618,0.3456,0.4972,0.63
06:33:34:7,0.1498,0.3516,0.4772,0.61
06:33:34:7,0.1418,0.3476,0.4612,0.59
06:33:34:7,0.1378,0.3436,0.4532,0.59
06:33:34:7,0.1418,0.3336,0.4512,0.58
06:33:34:7,0.1538,0.3216,0.4532,0.58
06:33:34:7,0.1718,0.3036,0.4612,0.58
06:33:34:7,0.1898,0.2876,0.4672,0.58
06:33:34:7,0.1998,0.2776,0.4732,0.58
06:33:34:7,0.1918,0.2796,0.4992,0.60
06:33:34:8,0.1818,0.2856,0.5152,0.62
06:33:34:8,0.1798,0.2916,0.5132,0.62
06:33:34:8,0.1838,0.3076,0.5152,0.63
06:33:34:8,0.1978,0.3296,0.5072,0.64
06:33:34:8,0.2198,0.3556,0.5112,0.66
06:33:34:8,0.2278,0.3856,0.5072,0.68
06:33:34:8,0.2318,0.5097,0.5032,0.75
06:33:34:8,0.2398,0.5197,0.5012,0.76
06:33:34:8,0.2639,0.5217,0.4812,0.76
06:33:34:8,0.2859,0.5137,0.4732,0.75
06:33:34:8,0.2899,0.5057,0.4832,0.76
06:33:34:8,0.2819,0.4957,0.4992,0.76
06:33:34:8,0.2619,0.4857,0.5032,0.75
06:33:34:8,0.2558,0.4717,0.5172,0.75
06:33:34:8,0.2558,0.4557,0.5412,0.75
06:33:34:8,0.2619,0.4417,0.5652,0.76
06:33:34:8,0.2719,0.4257,0.5872,0.77
06:33:34:8,0.2859,0.4117,0.6132,0.79
06:33:34:8,0.3019,0.4037,0.7273,0.88
06:33:34:8,0.3259,0.3937,0.7353,0.90
06:33:34:8,0.3519,0.3896,0.7413,0.91
06:33:34:9,0.3839,0.3836,0.7493,0.93
06:33:34:9,0.5240,0.3776,0.7533,0.99
06:33:34:9,0.5420,0.3736,0.7533,1.00
06:33:34:9,0.5620,0.3676,0.7533,1.01
06:33:34:9,0.5820,0.3656,0.7493,1.02
06:33:34:9,0.5980,0.3656,0.7473,1.02
06:33:34:9,0.6060,0.3676,0.7373,1.02
06:33:34:9,0.6000,0.3716,0.7273,1.01
06:33:34:9,0.5820,0.3836,0.7073,0.99
06:33:34:9,0.5500,0.3997,0.6773,0.96
06:33:34:9,0.5099,0.4177,0.6432,0.92
06:33:34:9,0.3519,0.4397,0.5012,0.75
06:33:34:9,0.3079,0.4637,0.4792,0.73
06:33:34:9,0.1478,0.4837,0.4572,0.68
06:33:34:9,0.1035,0.4997,0.4492,0.68
06:33:34:9,-0.0305,0.5057,0.4812,0.70
06:33:34:9,-0.0545,0.4997,0.5452,0.74
06:33:35:0,-0.0745,0.4837,0.7413,0.89
06:33:35:0,-0.0885,0.4557,0.7853,0.91
06:33:35:0,-0.0945,0.4217,0.9013,1.00
06:33:35:0,-0.0885,0.3796,0.9013,0.98
06:33:35:0,-0.0685,0.1956,0.8953,0.92
06:33:35:0,-0.0425,0.1696,0.8753,0.89
06:33:35:0,-0.0185,0.1516,0.8153,0.83
