time,gFx,gFy,gFz,TgF
06:33:32:5,-0.1165,0.5717,0.4612,0.74
06:33:32:5,-0.1245,0.5717,0.4792,0.76
06:33:32:5,-0.1346,0.5737,0.4952,0.77
06:33:32:5,-0.1426,0.5737,0.5072,0.78
06:33:32:5,-0.1506,0.5777,0.5172,0.79
06:33:32:5,-0.1566,0.5777,0.5252,0.80
06:33:32:5,-0.1646,0.5777,0.5272,0.80
06:33:32:5,-0.1686,0.5777,0.5272,0.80
06:33:32:5,-0.1726,0.5757,0.5232,0.80
06:33:32:5,-0.1766,0.5777,0.5172,0.80
06:33:32:5,-0.1786,0.5777,0.5052,0.79
06:33:32:5,-0.1826,0.5777,0.4912,0.78
06:33:32:5,-0.1866,0.5777,0.4752,0.77
06:33:32:5,-0.1906,0.5777,0.4552,0.76
06:33:32:5,-0.1926,0.5777,0.4312,0.75
06:33:32:5,-0.1946,0.5817,0.4112,0.74
06:33:32:5,-0.1966,0.5857,0.3891,0.73
06:33:32:5,-0.2006,0.5877,0.2791,0.68
06:33:32:5,-0.2026,0.5917,0.2731,0.68
06:33:32:5,-0.2046,0.5977,0.2691,0.69
06:33:32:5,-0.2066,0.6017,0.2631,0.69
06:33:32:5,-0.2086,0.6057,0.2611,0.69
06:33:32:5,-0.2106,0.6117,0.2611,0.70
06:33:32:5,-0.2126,0.6137,0.2651,0.70
06:33:32:5,-0.2166,0.6177,0.2691,0.71
06:33:32:5,-0.2226,0.6197,0.2731,0.71
06:33:32:5,-0.2286,0.6257,0.2771,0.72
06:33:32:6,-0.2366,0.6277,0.2851,0.73
06:33:32:6,-0.2426,0.6297,0.2891,0.73
06:33:32:6,-0.2486,0.6317,0.2971,0.74
06:33:32:6,-0.2546,0.6337,0.3031,0.75
06:33:32:6,-0.2606,0.6377,0.3051,0.75
06:33:32:6,-0.2646,0.6397,0.3091,0.76
06:33:32:6,-0.2666,0.6417,0.3111,0.76
06:33:32:6,-0.2686,0.6397,0.3131,0.76
06:33:32:6,-0.2686,0.6397,0.3131,0.76
06:33:32:6,-0.2686,0.6397,0.3111,0.76
06:33:32:6,-0.2706,0.6397,0.3091,0.76
06:33:32:6,-0.2706,0.6377,0.3071,0.76
06:33:32:6,-0.2706,0.6377,0.3051,0.76
06:33:32:6,-0.2706,0.6377,0.3011,0.76
06:33:32:6,-0.2726,0.6377,0.2971,0.75
06:33:32:6,-0.2726,0.6377,0.2931,0.75
06:33:32:6,-0.2706,0.6357,0.2911,0.75
06:33:32:6,-0.2686,0.6357,0.2911,0.75
06:33:32:6,-0.2646,0.6317,0.2951,0.75
06:33:32:6,-0.2586,0.6277,0.2991,0.74
06:33:32:6,-0.2526,0.6217,0.3091,0.74
06:33:32:6,-0.2466,0.6157,0.3231,0.74
06:33:32:7,-0.2386,0.6077,0.3391,0.74
06:33:32:7,-0.2326,0.5997,0.3591,0.74
06:33:32:7,-0.2246,0.5937,0.3811,0.74
06:33:32:7,-0.2186,0.5857,0.4052,0.74
06:33:32:7,-0.2126,0.5757,0.4252,0.75
06:33:32:7,-0.2066,0.5717,0.5412,0.81
06:33:32:7,-0.2026,0.5657,0.5512,0.82
06:33:32:7,-0.1966,0.5557,0.5572,0.81
06:33:32:7,-0.1886,0.5477,0.5652,0.81
06:33:32:7,-0.1786,0.5397,0.5712,0.81
06:33:32:7,-0.1686,0.5357,0.5772,0.81
06:33:32:7,-0.1546,0.5357,0.5852,0.81
06:33:32:7,-0.1366,0.5377,0.5992,0.82
06:33:32:7,-0.1165,0.5417,0.6112,0.83
06:33:32:7,-0.0945,0.5457,0.6192,0.83
06:33:32:7,-0.0665,0.5477,0.6252,0.83
06:33:32:7,0.0595,0.5517,0.6312,0.84
06:33:32:7,0.0735,0.5497,0.6352,0.84
06:33:32:7,0.0915,0.5437,0.6372,0.84
06:33:32:8,0.0995,0.5417,0.6332,0.84
06:33:32:8,0.1035,0.5357,0.6212,0.83
06:33:32:8,0.1098,0.5197,0.6072,0.81
06:33:32:8,0.1075,0.5017,0.5912,0.78
06:33:32:8,0.0955,0.4837,0.5752,0.76
06:33:32:8,0.0755,0.4637,0.5492,0.72
06:33:32:8,0.0475,0.4457,0.5152,0.68
06:33:32:8,0.0175,0.4317,0.3871,0.58
06:33:32:8,-0.0065,0.4097,0.3751,0.56
06:33:32:8,-0.1346,0.3937,0.3671,0.55
06:33:32:8,-0.1466,0.3856,0.3611,0.55
06:33:32:8,-0.1606,0.3856,0.3671,0.56
06:33:32:8,-0.1646,0.3896,0.3771,0.57
06:33:32:8,-0.1666,0.3957,0.3932,0.58
06:33:32:8,-0.1646,0.4057,0.4152,0.60
