time,gFx,gFy,gFz,TgF
0.913370,0.4319,0.7298,0.4892,0.98
1.916322,-0.2466,0.6057,0.6713,0.94
2.932528,-0.6968,0.2616,-0.2313,0.78
3.920137,-0.0805,0.9119,-0.1833,0.93
4.909765,-0.0485,0.6377,-0.0413,0.64
5.913061,-0.0585,0.8538,-0.1693,0.87
6.919792,-0.0005,0.5917,-0.0713,0.60
7.942763,0.1858,0.6898,-0.0553,0.72
8.948097,0.0355,0.7118,-0.0033,0.71
9.928760,0.0255,0.9519,-0.0753,0.96
10.944017,0.1138,0.6457,-0.1333,0.67
11.920994,-0.0405,0.9119,-0.2413,0.94
12.921507,-0.3286,0.0013,-0.9899,1.04
13.956016,-0.6648,0.4737,-0.6415,1.04
14.946375,-0.7770,0.1876,-0.9078,1.21
15.923455,-0.4867,0.2016,-1.1379,1.25
16.920428,0.2819,-0.0308,-1.4321,1.46
17.942455,-0.2986,-1.0154,-0.7175,1.28
18.928584,-0.2246,-0.5870,-0.8078,1.02
19.926038,0.2158,0.4157,-0.7858,0.91
20.933775,0.1218,0.6357,-0.5194,0.83
21.934778,0.1055,0.6598,-0.5675,0.88
22.926531,0.1818,0.6497,-0.5835,0.89
23.920672,0.0755,0.6618,-0.4834,0.82
24.936579,0.1035,0.7578,-0.6355,0.99
25.927932,0.2158,0.5857,-0.6535,0.90
26.925018,-0.1245,0.0893,-0.5635,0.58
27.957013,-0.3526,0.2536,-1.2000,1.28
28.969601,-0.5607,0.0553,-1.1679,1.30
29.942503,-0.4567,-0.0108,-1.2140,1.30
30.943014,-0.6047,-0.7793,-1.0519,1.44
31.946532,-0.0825,-0.7070,-1.0919,1.30
32.939090,-0.1786,-0.8853,-1.1219,1.44
33.964894,0.2278,0.4077,-1.0759,1.17
34.933130,0.0195,0.6017,-0.9419,1.12
35.932517,0.1378,0.6578,-0.8838,1.11
36.975162,0.2058,0.5437,-1.0399,1.19
37.967362,-0.0205,0.6558,-0.7838,1.02
38.965253,0.1218,0.6357,-0.8298,1.05
39.963199,0.2258,0.7218,-1.0139,1.26
40.946422,0.0315,0.6197,-0.9299,1.12
41.969140,-0.2366,-0.1968,-1.1519,1.19
42.942920,-0.4707,0.2216,-1.0299,1.15
43.936451,-0.4387,0.0453,-1.1119,1.20
44.939235,-0.4607,-0.2348,-1.1399,1.25
45.949794,-0.5867,-0.5830,-0.9659,1.27
46.951485,-0.1666,-0.5970,-1.0419,1.21
47.953137,-0.0305,-1.2455,-1.2380,1.76
48.935555,-0.0365,-0.0008,-0.9919,0.99
49.941959,0.1075,0.5477,-0.7075,0.90
50.949169,0.1015,0.5977,-0.6335,0.88
51.942066,0.0095,0.6277,-0.4334,0.76
52.977599,-0.0705,0.6698,-0.4514,0.81
53.946460,0.0835,0.6217,-0.5915,0.86
54.962758,-0.1886,1.5163,-0.3434,1.57
55.950473,-1.5954,-1.0234,1.1917,2.24
56.967569,0.3339,0.0053,0.7853,0.85
