time,gFx,gFy,gFz,TgF
0.207212,0.0895,0.2616,0.9956,1.03
1.212321,-0.5587,0.6878,0.0268,0.89
2.234304,-0.5207,0.4197,0.5572,0.87
3.217017,-0.4947,0.4877,0.2171,0.73
4.218837,-0.3766,0.7178,-0.1913,0.83
5.221165,-0.0505,0.6518,-0.0673,0.66
6.208943,-0.2046,0.7298,-0.0373,0.76
7.205281,-0.0425,0.9559,-0.1153,0.96
8.208004,0.0715,0.6978,-0.1953,0.73
9.215228,0.0735,0.8618,0.0308,0.87
10.212468,-0.0245,0.8958,-0.0513,0.90
11.218346,0.1678,0.6518,-0.1173,0.68
12.226287,0.1258,0.8218,-0.0753,0.83
13.223095,-0.0305,0.6437,-0.0633,0.65
14.228298,-0.1145,0.7858,-0.1353,0.81
15.220315,0.1558,0.6898,-0.2113,0.74
16.263974,0.5460,-0.3309,-0.8798,1.09
17.219851,0.6300,0.3296,-0.6715,0.98
18.223186,0.3359,0.0733,-0.9119,0.97
19.224054,0.5039,-0.7733,-0.5335,1.07
20.227081,0.2098,-0.5370,-0.8398,1.02
21.226563,0.5480,-0.9093,-0.2513,1.09
22.224121,-0.2446,0.4957,-0.8918,1.05
23.282266,-0.0805,0.5837,-0.8078,1.00
24.230520,0.1178,0.5937,-0.7235,0.94
25.228360,0.0255,0.7578,-0.8698,1.15
26.255502,-0.0025,0.6858,-0.7455,1.01
27.234888,0.0335,0.6457,-0.9359,1.14
28.237343,0.4639,-0.2168,-1.3720,1.46
29.230121,0.4699,0.0813,-1.0679,1.17
30.225628,0.4059,-0.1468,-0.9479,1.04
31.239070,-0.2606,0.0433,-1.0639,1.10
32.222018,0.2398,-0.8573,-0.7055,1.14
33.234025,0.0975,-0.4409,-0.7638,0.89
34.255699,-0.2966,0.6538,-0.5915,0.93
35.261747,-0.2486,0.7078,-0.5655,0.94
36.268604,-0.0845,0.6097,-0.6455,0.89
37.254760,-0.1846,0.9018,-0.1953,0.94
38.249259,-0.2626,0.7038,-0.5935,0.96
39.232465,0.0375,0.6798,-0.6275,0.93
40.263268,-0.2746,0.4917,-0.7355,0.93
41.231026,0.4079,-0.8253,-0.8158,1.23
42.243318,0.7720,0.0873,-1.0239,1.29
43.233187,0.7360,0.0553,-0.8758,1.15
44.236449,0.5520,0.0213,-0.9939,1.14
45.242036,-0.3866,0.1053,-1.0659,1.14
46.248700,0.0835,-0.9894,-1.0719,1.46
47.256685,-0.3486,0.1976,-1.0019,1.08
48.241166,-0.3066,0.6578,-0.5855,0.93
49.243678,-0.3907,0.5317,-0.5595,0.87
50.236530,-0.2146,0.6798,-0.5074,0.87
51.295781,-0.4047,-1.7299,-0.1413,1.78
52.305251,0.2258,0.2416,0.6152,0.70
