gFx,gFy,gFz,label,gFx_diff,gFy_diff,gFz_diff
-0.8031,-0.4129,0.7033,walking,-0.24240000000000006,-0.5082,-0.08599999999999997
-0.5447,0.2756,0.7573,walking,0.2584000000000001,0.6885,0.05399999999999994
-0.0245,0.9781,0.1771,walking,0.5202,0.7024999999999999,-0.5801999999999999
-0.1245,0.9721,0.1851,walking,-0.1,-0.006000000000000005,0.00799999999999998
0.0135,0.9539,0.2431,walking,0.138,-0.018199999999999994,0.058000000000000024
-0.1025,0.9721,0.2071,walking,-0.11599999999999999,0.018199999999999994,-0.036000000000000004
-0.0065,0.9579,0.2191,walking,0.09599999999999999,-0.01419999999999999,0.011999999999999983
-0.0305,0.9439,0.2231,walking,-0.024,-0.014000000000000012,0.0040000000000000036
0.0415,0.9721,0.2251,walking,0.07200000000000001,0.028200000000000003,0.0020000000000000018
-0.2146,0.9279,0.2111,walking,-0.2561,-0.04420000000000002,-0.013999999999999985
0.0635,0.9761,0.2371,walking,0.2781,0.04820000000000002,0.025999999999999995
-0.2806,0.8878,0.2791,walking,-0.3441,-0.08829999999999993,0.04200000000000001
0.1218,0.9621,0.2991,walking,0.40240000000000004,0.07429999999999992,0.019999999999999962
-0.1366,0.9479,0.4292,walking,-0.2584,-0.01419999999999999,0.13010000000000005
-0.3046,0.3276,0.8713,walking,-0.16799999999999998,-0.6203,0.44209999999999994
-0.6387,-0.2528,0.8273,walking,-0.33410000000000006,-0.5804,-0.04399999999999993
-0.6708,-0.5049,0.8273,walking,-0.032099999999999906,-0.2521,0.0
-0.5347,0.1275,0.8453,walking,0.1361,0.6324000000000001,0.018000000000000016
-0.2026,0.9721,0.1691,walking,0.33209999999999995,0.8446,-0.6762
0.0235,0.9599,0.2931,walking,0.2261,-0.012199999999999989,0.12400000000000003
-0.1666,0.9299,0.2231,walking,-0.1901,-0.030000000000000027,-0.07000000000000003
0.0815,0.9781,0.1871,walking,0.2481,0.04820000000000002,-0.036000000000000004
-0.1085,0.9399,0.2271,walking,-0.19,-0.03820000000000001,0.04000000000000001
0.0555,0.9621,0.2551,walking,0.164,0.022199999999999998,0.027999999999999997
-0.0965,0.9741,0.2131,walking,-0.152,0.01200000000000001,-0.04199999999999998
0.1238,0.9661,0.2971,walking,0.2203,-0.008000000000000007,0.08399999999999996
-0.0665,0.9921,0.1931,walking,-0.1903,0.026000000000000023,-0.10399999999999998
-0.1205,0.9881,0.127,walking,-0.05399999999999999,-0.0040000000000000036,-0.06609999999999999
0.0755,0.9861,0.1891,walking,0.196,-0.0020000000000000018,0.06209999999999999
-0.1005,0.9901,0.1451,walking,-0.176,0.0040000000000000036,-0.043999999999999984
0.0195,0.9621,0.2131,walking,0.12000000000000001,-0.028000000000000025,0.068
-0.1145,0.9661,0.3111,walking,-0.134,0.0040000000000000036,0.09799999999999998
-0.4987,-0.0168,0.9474,walking,-0.3842,-0.9829,0.6363000000000001
-0.7128,-0.4709,0.6593,walking,-0.2141,-0.4541,-0.2881
-0.6728,-0.3949,0.7273,walking,0.040000000000000036,0.07600000000000001,0.06799999999999995
-0.3566,0.4597,0.6873,walking,0.3162,0.8546,-0.039999999999999925
-0.0325,1.0061,0.0528,walking,0.32409999999999994,0.5464,-0.6345000000000001
0.0135,0.9641,0.2131,walking,0.046,-0.04200000000000004,0.1603
-0.1966,0.9901,0.2251,walking,-0.2101,0.026000000000000023,0.011999999999999983
0.0775,1.0041,0.2551,walking,0.2741,0.014000000000000012,0.03
-0.1105,0.9901,0.2731,walking,-0.188,-0.014000000000000012,0.018000000000000016
0.0015,0.9941,0.1771,walking,0.112,0.0040000000000000036,-0.096
-0.2646,0.9078,0.2351,walking,-0.2661,-0.08629999999999993,0.057999999999999996
0.0195,1.0101,0.2431,walking,0.2841,0.10229999999999995,0.008000000000000007
-0.2106,0.9661,0.2391,walking,-0.2301,-0.04400000000000004,-0.0040000000000000036
0.0915,0.9881,0.2291,walking,0.30210000000000004,0.02200000000000002,-0.010000000000000009
-0.2366,0.9078,0.1731,walking,-0.3281,-0.08029999999999993,-0.055999999999999994
0.0675,0.9681,0.1891,walking,0.30410000000000004,0.06029999999999991,0.015999999999999986
-0.1085,0.9379,0.2171,walking,-0.176,-0.030200000000000005,0.027999999999999997
0.0115,0.9721,0.1851,walking,0.12,0.03420000000000001,-0.032
-0.0445,1.0001,0.1611,walking,-0.055999999999999994,0.028000000000000025,-0.023999999999999994
-0.0425,1.0522,0.1891,walking,0.001999999999999995,0.052100000000000035,0.027999999999999997
-0.0125,1.0021,0.2151,walking,0.030000000000000002,-0.05010000000000003,0.026000000000000023
-0.0405,0.9881,0.1651,walking,-0.028,-0.014000000000000012,-0.05000000000000002
-0.0085,0.9941,0.1771,walking,0.032,0.006000000000000005,0.01200000000000001
-0.0385,0.9821,0.2291,walking,-0.03,-0.01200000000000001,0.05199999999999999
-0.2046,0.7298,-0.0373,falling,-0.1661,-0.25229999999999997,-0.26639999999999997
-0.0425,0.9559,-0.1153,falling,0.1621,0.22609999999999997,-0.078
0.0715,0.6978,-0.1953,falling,0.11399999999999999,-0.2581,-0.08
0.0735,0.8618,0.0308,falling,0.0020000000000000018,0.16400000000000003,0.2261
-0.0245,0.8958,-0.0513,falling,-0.098,0.03400000000000003,-0.0821
0.1678,0.6518,-0.1173,falling,0.1923,-0.244,-0.066
0.1258,0.8218,-0.0753,falling,-0.04200000000000001,0.16999999999999993,0.041999999999999996
